correct_answer;question;wrong_answer
"Winston Churchill";"Quale, tra i seguenti uomini politici, era presente alla conferenza di Yalta del 1945?";"Charles De Gaulle|John Fitzgerald Kennedy|Lenin"
"Disobbedienza civile";"Come venne definita la politica promossa da Ghandi in India?";"Attesa silenziosa|Sciopero a oltranza|Transizione pacifica"
1975;"La guerra del Vietnam terminò con il ritiro degli Americani da Saigon, oggi Ho Chi Minh, nel:";1945|1950|1967
Francia;"Con quale dei seguenti Stati era alleata la Gran Bretagna nella seconda guerra mondiale?";Germania|Giappone|Ungheria
"Lungo l'Appennino tosco-emiliano";"Nel corso della seconda guerra mondiale, dove si trovava la cosiddetta ""linea gotica""?";"A fronteggiare il percorso della linea Maginot francese, in territorio tedesco; era nota anche come linea Sigfrido|Lungo i Pirenei|Sul confine tra la Germania e i suoi Stati cuscinetto dopo il 1940"
"Negli anni Ottanta";"In quale decennio del XX secolo l'AIDS si è diffuso a livelli mondiali?";"Negli anni Cinquanta|Negli anni Venti|Non è possibile determinarlo in base ai dati attualmente disponibili"
Russia;"Nel 1915 l'Italia si schierò con Gran Bretagna, Francia e con quale dei seguenti Paesi?";Bulgaria|Germania|Spagna
"Rimasero neutrali";"Quale posizione assunsero gli Stati Uniti allo scoppio della seconda guerra mondiale? ";"Si allearono con la Germania|Si allearono con l'Italia|Si allearono con l'URSS"
"gli Stati Uniti entrarono nel conflitto";"Il 6 aprile 1917 è una data importante nel contesto della prima guerra mondiale perché:";"il Giappone capitolò|la Germania capitolò|venne siglata la pace tra Russia e Germania"
"Unione Sovietica";"Con quale dei seguenti Stati era alleata la Gran Bretagna nella seconda guerra mondiale? ";Germania|Giappone|Svizzera
"Stati Uniti";"Quale tra le seguenti potenze intervenne per ultima nella prima guerra mondiale?";"Francia|Germania|Regno Unito"
"russi e tedeschi";"La pace di Brest-Litovsk del 3 marzo 1918 venne firmata tra:";"francesi e bulgari|inglesi e tedeschi|italiani e austriaci"
"Winston Churchill";"Quale uomo politico divenne Primo Ministro britannico nel 1940?";"George Gladstone|Gustav Stresemann|Woodrow Wilson"
Germania;"Contro quale dei seguenti Stati era schierata la Gran Bretagna nella prima guerra mondiale?";"Italia|Nessuno degli Stati riportati nelle altre alternative|Romania"
"la legislazione antisemita promulgata dal regime nazista";"Le ""Leggi di Norimberga"" furono:";"la Costituzione del Terzo Reich|la normativa in base alla quale furono processati i capi nazisti al termine della seconda guerra mondiale|le norme di ratifica dell'alleanza italo-tedesca"
"Germania e Russia";"Quali Stati firmarono la pace di Brest-Litovsk, il 3 marzo 1918?";"Germania e Francia|Polonia e Germania|Ungheria e Polonia"
"Francia, Gran Bretagna e Russia";"Alla vigilia della prima guerra mondiale, la Triplice intesa era costituita da:";"Austria-Ungheria, Germania e Turchia|Francia, Gran Bretagna e Italia|Russia, Francia e Italia"
Roma;"In quale capitale europea fu siglato nel 1957 il Trattato che segnò la nascita della Comunità Economica Europea? ";Atene|Bruxelles|Parigi
"favorire la resistenza inglese, con aiuti economici, potenziandone la flotta e l'aviazione";"La politica di Roosevelt, Presidente degli Stati Uniti d'America quando ancora non erano coinvolti nel conflitto mondiale, nel 1940 mirava a:";"affermare un dominio coloniale sui territori sovietici, scorporandoli in protettorati|apportare ingenti aiuti militari alla Germania assecondando i suoi obiettivi espansionistici|isolare l'Inghilterra dai suoi dominions"
"Si schierò con Hitler fino all'armistizio del 1943";"Durante la seconda guerra mondiale, quale posizione assunse l'Italia?";"Si alleò con la Spagna|Si schierò contro la Germania sin dal 1939|Si schierò subito con gli Anglo-Francesi"
"Entrò in guerra a fianco dei Tedeschi";"Durante la seconda guerra mondiale, quale posizione assunse il Giappone?";"Si alleò con la Spagna|Si schierò con gli Alleati|Si schierò con la Francia"
"Roosevelt, Churchill e Stalin";"Chi furono i capi di Stato che si incontrarono nella Conferenza di Jalta nel 1945?";"De Gaulle, Wilson e Breznev|Vittorio Emanuele III, Truman e Churchill|Wilson, Lloyd George e Clemenceau"
Italia;"Quale delle seguenti nazioni era alleata della Francia nella prima guerra mondiale?";Austria-Ungheria|Germania|Turchia
Inghilterra;"Quale fra i seguenti Paesi, durante la seconda guerra mondiale, resistette alle incursioni militari della Germania?";Danimarca|Finlandia|Norvegia
Germania;"Contro quale dei seguenti Stati era schierata l'Unione Sovietica nella seconda guerra mondiale? ";"Canada|Gran Bretagna|Portogallo"
Polonia;"Nel 1939, quale tra i seguenti Paesi fu invaso dalla Germania?";Austria|Cecoslovacchia|URSS
Germania;"In quale dei seguenti Paesi si trovava il campo di sterminio di Buchenwald?";Austria|Polonia|Romania
Bolscevichi;"Quale dei seguenti gruppi politici era guidato da Lenin durante la Rivoluzione d'Ottobre del 1917? ";Menscevichi|Populisti|Socialisti-rivoluzionari
1989;"A quale anno risale la caduta del muro di Berlino?";1948|1972|1994
Svezia;"Quale dei seguenti Stati era neutrale nella seconda guerra mondiale?";Francia|Germania|Giappone
Comunisti;"Quali partiti europei animarono la Terza Internazionale?";Popolari|Repubblicani|Socialdemocratici
Ungheria;"Contro quale dei seguenti Stati era schierata la Gran Bretagna nella seconda guerra mondiale?";"Canada|Francia|Unione Sovietica"
"Nel 1917";"In quale anno lo zar Nicola II di Russia fu costretto dai rivoluzionari bolscevichi ad abdicare?";"Nel 1901|Nel 1927|Nel 1945"
Eisenhower;"Quale generale diresse lo sbarco in Normandia il 6 giugno 1944?";"Chamberlain|De Gaulle|Mihailovic"
Rommel;"Durante la seconda guerra mondiale, chi comandò il corpo di spedizione tedesco in Africa?";Goering|Montgomery|Patton
"6 giugno 1944";"Lo sbarco alleato in Normandia, in codice D-Day, avvenne il:";"25 agosto 1942|25 aprile 1948|9 settembre 1936"
"la Germania";"Il governo francese di Vichy, durante la seconda guerra mondiale, era alleato con:";"la Gran Bretagna|l'Italia|l'Unione Sovietica"
Spagna;"Quale dei seguenti Stati rimase neutrale nella prima guerra mondiale?";Austria-Ungheria|Inghilterra|Russia
"Pearl Harbor";"In quale località l'aviazione giapponese attaccò, alla fine del 1941, la flotta degli Stati Uniti?";"Cape Cod|Formosa|San Francisco"
Giappone;"Contro quale dei seguenti Stati era schierata la Gran Bretagna nella seconda guerra mondiale? ";"Cina|Spagna|Unione Sovietica"
"Jurij Gagarin";"Chi fu il primo uomo nello spazio?";"John Glenn|Jurij Andropov|Mikhail Gorbaciov"
"l'Organizzazione per la Liberazione della Palestina";"L'OLP è:";"l'Organismo per la Liberalizzazione del Petrolio|l'Organizzazione dei Lavoratori Palestinesi|l'Organizzazione per la Lotta alla Povertà"
"non esisteva";"Durante la prima guerra mondiale, la Cecoslovacchia:";"era alleata dei Paesi della Triplice Alleanza|era alleata dei Paesi della Triplice Intesa|era neutrale"
"le truppe italo-tedesche furono sconfitte da quelle britanniche";"A El Alamein, nel novembre 1942:";"i britannici subirono una pesante sconfitta dalle forze dell'Asse|i francesi e i britannici si scontrarono per conquistare l'Egitto|i tedeschi soccorsero gli italiani in difficoltà contro l'esercito egiziano"
"L'attacco giapponese alla flotta americana stanziata a Pearl Harbor";"Quale avvenimento provocò l'entrata degli USA nella seconda guerra mondiale?";"La decisione dell'URSS di entrare nel conflitto|La disfatta della Francia|Un attentato al Presidente americano a New York"
"anglo-americani e giapponesi";"Nella seconda guerra mondiale, gli scontri aeronavali nel Pacifico videro prevalentemente impegnati: ";"cinesi e giapponesi|francesi e sovietici|sovietici e tedeschi"
"i tedeschi furono sconfitti dai sovietici";"Nel 1943, a Stalingrado, al termine di un lungo assedio:";"gli anglo-americani annientarono i giapponesi|gli italiani ottennero una schiacciante vittoria|i sovietici furono sconfitti dai tedeschi"
"Chiang Kai-shek";"Chi era il leader nazionalista cinese che combatté i comunisti di Mao Tse-tung fino a quando fu definitivamente sconfitto e venne fondata la Repubblica Popolare Cinese?";"Deng Xiao-ping|Kuo Min-tang|Sun Yat-sen"
"Hiroshima e Nagasaki";"Quali sono le due città sulle quali gli Americani, nell'estate 1945, lanciarono la bomba atomica:";"Okinawa e Hiroshima|Shangai e Nagasaki|Tokyo e Hiroshima"
1939;"Il patto Ribbentrop-Molotov fu stipulato da Germania e URSS nel:";1898|1917|1946
Svezia;"Quale dei seguenti Stati era neutrale nella seconda guerra mondiale?";"Francia|Gran Bretagna|Ungheria"
Svezia;"Quale dei seguenti Stati era neutrale nella seconda guerra mondiale?";Francia|Giappone|Italia
Ungheria;"Contro quale dei seguenti Stati era schierata l'Unione Sovietica nella seconda guerra mondiale?";"Francia|Gran Bretagna|Stati Uniti d'America"
Giappone;"Contro quale dei seguenti Stati era schierata l'Unione Sovietica nella seconda guerra mondiale?";"Portogallo|Spagna|Stati Uniti d'America"
Ungheria;"Con quale dei seguenti Stati era alleata la Germania nella seconda guerra mondiale?";Portogallo|Spagna|Svizzera
03/09/1939;"Francia e Gran Bretagna dichiararono congiuntamente guerra alla Germania il:";06/03/1938|10/05/1940|19/11/1946
;;
;;
